Name	Year of birth	Year of death	Nationality	Notable 20th-century works	Remarks	URL	Pageviews
Murray Adaskin	1906	2002.0	Canadian			https://en.wikipedia.org/wiki/Murray_Adaskin	3237.0
Anatol Vieru	1926	1998.0	Romanian	Concerto for violin, cello and orchestra; seven symphonies; eight string quartets	modality	https://en.wikipedia.org/wiki/Anatol_Vieru	3230.0
Roberto Gerhard	1896	1970.0	Spanish			https://en.wikipedia.org/wiki/Roberto_Gerhard	3221.0
Helen Eugenia Hagan	1893	1964.0	American			https://en.wikipedia.org/wiki/Helen_Eugenia_Hagan	3219.0
Leighton Lucas	1903	1982.0	English			https://en.wikipedia.org/wiki/Leighton_Lucas	3218.0
Kenneth Gaburo	1926	1993.0	American	The Flow of (u)		https://en.wikipedia.org/wiki/Kenneth_Gaburo	3215.0
Hedwige Chrétien	1859	1944.0	French			https://en.wikipedia.org/wiki/Hedwige_Chr%C3%A9tien	3212.0
Frederick Corder	1852	1932.0	English		Romanticism	https://en.wikipedia.org/wiki/Frederick_Corder	3211.0
Alexandre Luigini	1850	1906.0	French			https://en.wikipedia.org/wiki/Alexandre_Luigini	3201.0
Gunnar de Frumerie	1908	1987.0	Swedish			https://en.wikipedia.org/wiki/Gunnar_de_Frumerie	3200.0
Alejandro García Caturla	1906	1940.0	Cuban			https://en.wikipedia.org/wiki/Alejandro_Garc%C3%ADa_Caturla	3199.0
Helena Munktell	1852	1919.0	Swedish		Romanticism	https://en.wikipedia.org/wiki/Helena_Munktell	3198.0
Julius Harrison	1885	1963.0	English			https://en.wikipedia.org/wiki/Julius_Harrison	3192.0
Otto Olsson	1879	1964.0	Swedish	Te Deum		https://en.wikipedia.org/wiki/Otto_Olsson	3187.0
Ernani Aguiar	1950		Brazilian			https://en.wikipedia.org/wiki/Ernani_Aguiar	3182.0
Rudolf Wagner-Régeny	1903	1969.0	German	Prometheus(opera)		https://en.wikipedia.org/wiki/Rudolf_Wagner-R%C3%A9geny	3180.0
Vakhtang Kakhidze	1959		Georgian			https://en.wikipedia.org/wiki/Vakhtang_Kakhidze	3177.0
Bernard Zweers	1854	1924.0	Dutch			https://en.wikipedia.org/wiki/Bernard_Zweers	3173.0
Andria Balanchivadze	1906	1992.0	Georgian			https://en.wikipedia.org/wiki/Andria_Balanchivadze	3172.0
Hermann Schroeder	1904	1984.0	German			https://en.wikipedia.org/wiki/Hermann_Schroeder	3167.0
Nigel Clarke	1960		English	Samurai;A Richer Dust (Symphony No 1.);The Miraculous Violin;Mysteries of the Horizon (Trumpet/Cornet Concerto);Earthrise;Gagarin		https://en.wikipedia.org/wiki/Nigel_Clarke_(composer)	3166.0
Ernst Levy	1895	1981.0	Swiss			https://en.wikipedia.org/wiki/Ernst_Levy	3166.0
Donald Grantham	1947		American			https://en.wikipedia.org/wiki/Donald_Grantham	3163.0
Miłosz Magin	1929	1999.0	Polish			https://en.wikipedia.org/wiki/Mi%C5%82osz_Magin	3161.0
William Bergsma	1921	1994.0	American	Violin Concerto,March with Trumpets		https://en.wikipedia.org/wiki/William_Bergsma	3160.0
Claude Champagne	1891	1965.0	Canadian			https://en.wikipedia.org/wiki/Claude_Champagne	3159.0
Eva Dell'Acqua	1856	1930.0	Belgian			https://en.wikipedia.org/wiki/Eva_Dell%27Acqua	3156.0
Alistair Hinton	1950		Scottish			https://en.wikipedia.org/wiki/Alistair_Hinton	3155.0
Jukka Tiensuu	1948		Finnish			https://en.wikipedia.org/wiki/Jukka_Tiensuu	3153.0
Alexander Krein	1883	1951.0	Russian			https://en.wikipedia.org/wiki/Alexander_Krein	3147.0
Rexho Mulliqi	1923	1982.0	Albanian			https://en.wikipedia.org/wiki/Rexho_Mulliqi	3144.0
Ethel Leginska	1886	1970.0	British			https://en.wikipedia.org/wiki/Ethel_Leginska	3141.0
Marcel Bitsch	1921	2011.0	French			https://en.wikipedia.org/wiki/Marcel_Bitsch	3138.0
Els Aarne	1917	1995.0	Estonian			https://en.wikipedia.org/wiki/Els_Aarne	3134.0
Hugues Dufourt	1943		French			https://en.wikipedia.org/wiki/Hugues_Dufourt	3132.0
David A. Jaffe	1955		American	"""Silicon Valley Breakdown""; ""The Seven Wonders of the Ancient World"""	computer music, folk-music-influenced	https://en.wikipedia.org/wiki/David_A._Jaffe	3130.0
Juan José Castro	1895	1968.0	Argentine			https://en.wikipedia.org/wiki/Juan_Jos%C3%A9_Castro	3130.0
Ian Venables	1955		English	Songs of Eternity and Sorrow,Remember This		https://en.wikipedia.org/wiki/Ian_Venables	3127.0
Zoltán Jeney	1943	2019.0	Hungarian			https://en.wikipedia.org/wiki/Zolt%C3%A1n_Jeney	3126.0
Brian Boydell	1917	2000.0	Irish			https://en.wikipedia.org/wiki/Brian_Boydell	3123.0
Abram Chasins	1903	1987.0	American	Two piano concertos;Paradefor orchestra		https://en.wikipedia.org/wiki/Abram_Chasins	3115.0
Aleksandr Gauk	1893	1963.0	Russian/Soviet			https://en.wikipedia.org/wiki/Aleksandr_Gauk	3112.0
Nicolas Flagello	1928	1994.0	American		Neoclassicism	https://en.wikipedia.org/wiki/Nicolas_Flagello	3103.0
Gérard Calvi	1922	2015.0	French			https://en.wikipedia.org/wiki/G%C3%A9rard_Calvi	3101.0
Gwyneth Van Anden Walker	1947		American			https://en.wikipedia.org/wiki/Gwyneth_Van_Anden_Walker	3100.0
Antonio José	1902	1936.0	Spanish			https://en.wikipedia.org/wiki/Antonio_Jos%C3%A9_Mart%C3%ADnez_Palacios	3091.0
Iain Hamilton	1922	2000.0	Scottish	chamber & orchestral works; operas & vocal works[vague]		https://en.wikipedia.org/wiki/Iain_Hamilton_(composer)	3091.0
David Felder	1953		American			https://en.wikipedia.org/wiki/David_Felder	3087.0
Yannis Kyriakides	1969		Cypriot			https://en.wikipedia.org/wiki/Yannis_Kyriakides	3078.0
Stanley Bate	1911	1959.0	English			https://en.wikipedia.org/wiki/Stanley_Bate	3077.0
Vladimír Godár	1956		Slovak			https://en.wikipedia.org/wiki/Vladim%C3%ADr_God%C3%A1r	3075.0
Wayne Barlow	1912	1996.0	American	The Winter's Passed, for oboe and string orchestra;Hampton Beach Overture;Sinfonia da camera		https://en.wikipedia.org/wiki/Wayne_Barlow	3073.0
Felix Woyrsch	1860	1944.0	German			https://en.wikipedia.org/wiki/Felix_Woyrsch	3072.0
Richard Meale	1932	2009.0	Australian	Voss	avant-garde	https://en.wikipedia.org/wiki/Richard_Meale	3064.0
Max Trapp	1887	1971.0	German			https://en.wikipedia.org/wiki/Max_Trapp	3057.0
Ivan Tcherepnin	1943	1998.0	French-American			https://en.wikipedia.org/wiki/Ivan_Tcherepnin	3056.0
Roger Bellon	1953		French			https://en.wikipedia.org/wiki/Roger_Bellon	3056.0
Dave Smith	1949		English			https://en.wikipedia.org/wiki/Dave_Smith_(composer)	3054.0
Dimitrie Cuclin	1885	1978.0	Romanian		several exceptionally long symphonies	https://en.wikipedia.org/wiki/Dimitrie_Cuclin	3050.0
Ruth Schönthal	1924	2006.0	German			https://en.wikipedia.org/wiki/Ruth_Sch%C3%B6nthal	3050.0
Johannes Fritsch	1941	2010.0	German			https://en.wikipedia.org/wiki/Johannes_Fritsch	3045.0
Thomas Rajna	1928	2021.0	Hungarian			https://en.wikipedia.org/wiki/Thomas_Rajna	3045.0
Enrique Fernández Arbós	1863	1939.0	Spanish			https://en.wikipedia.org/wiki/Enrique_Fern%C3%A1ndez_Arb%C3%B3s	3041.0
Jože Privšek	1937	1998.0	Slovenian			https://en.wikipedia.org/wiki/Jo%C5%BEe_Priv%C5%A1ek	3038.0
Denis ApIvor	1916	2004.0	British			https://en.wikipedia.org/wiki/Denis_ApIvor	3038.0
Ödön Pártos	1907	1977.0	Hungarian-Israeli			https://en.wikipedia.org/wiki/%C3%96d%C3%B6n_P%C3%A1rtos	3037.0
Anđelka Bego-Šimunić	1941	2022.0	Bosnian		neoclassicism	https://en.wikipedia.org/wiki/An%C4%91elka_Bego-%C5%A0imuni%C4%87	3037.0
Joseph Ryelandt	1870	1965.0	Belgian			https://en.wikipedia.org/wiki/Joseph_Ryelandt	3033.0
Stefano Scodanibbio	1956	2012.0	Italian			https://en.wikipedia.org/wiki/Stefano_Scodanibbio	3032.0
Arthur Frackenpohl	1924	2019.0	American			https://en.wikipedia.org/wiki/Arthur_Frackenpohl	3032.0
Norman Demuth	1898	1968.0	English			https://en.wikipedia.org/wiki/Norman_Demuth	3028.0
Lorenc Antoni	1909	1991.0	Kosovo Albanian			https://en.wikipedia.org/wiki/Lorenc_Antoni	3025.0
Ahmed Adnan Saygun	1907	1991.0	Turkish			https://en.wikipedia.org/wiki/Ahmed_Adnan_Saygun	3020.0
John La Montaine	1920	2013.0	American			https://en.wikipedia.org/wiki/John_La_Montaine	3018.0
Arnold van Wyk	1916	1983.0	South African			https://en.wikipedia.org/wiki/Arnold_van_Wyk	3017.0
Bojan Adamič	1912	1995.0	Slovenian			https://en.wikipedia.org/wiki/Bojan_Adami%C4%8D	3012.0
Thomas Koppel	1944	2006.0	Danish		avant-garde	https://en.wikipedia.org/wiki/Thomas_Koppel	3012.0
Claus-Steffen Mahnkopf	1962		German			https://en.wikipedia.org/wiki/Claus-Steffen_Mahnkopf	3011.0
Henning Christiansen	1932	2008.0	Danish		fluxus	https://en.wikipedia.org/wiki/Henning_Christiansen	3008.0
John Pickard	1963		British			https://en.wikipedia.org/wiki/John_Pickard_(composer)	3008.0
Rena Kyriakou	1917	1994.0	Greek			https://en.wikipedia.org/wiki/Rena_Kyriakou	3004.0
Jouni Kaipainen	1956	2015.0	Finnish			https://en.wikipedia.org/wiki/Jouni_Kaipainen	3003.0
Pablo Luna	1879	1942.0	Spanish	El niño judío		https://en.wikipedia.org/wiki/Pablo_Luna	3003.0
Annie Gosfield	1960		American			https://en.wikipedia.org/wiki/Annie_Gosfield	3002.0
Michael Hersch	1971		American	Symphony No. 1;Fracta;Arraché		https://en.wikipedia.org/wiki/Michael_Hersch	3000.0
Eduard Erdmann	1896	1958.0	German			https://en.wikipedia.org/wiki/Eduard_Erdmann	3000.0
Atli Heimir Sveinsson	1938	2019.0	Icelandic			https://en.wikipedia.org/wiki/Atli_Heimir_Sveinsson	2998.0
Timothee Adamowski	1857	1943.0	Polish-born American			https://en.wikipedia.org/wiki/Timothee_Adamowski	2997.0
Geraldine Mucha	1917	2012.0	Scottish			https://en.wikipedia.org/wiki/Geraldine_Mucha	2994.0
Frank La Forge	1879	1953.0	American			https://en.wikipedia.org/wiki/Frank_La_Forge	2990.0
Ignatz Waghalter	1881	1949.0	Polish-German	Concerto for Violin in A Major;Mandragola;Jugend	Romanticism	https://en.wikipedia.org/wiki/Ignatz_Waghalter	2986.0
Vano Muradeli	1908	1970.0	Soviet Georgian			https://en.wikipedia.org/wiki/Vano_Muradeli	2983.0
Oscar Lorenzo Fernández	1897	1948.0	Brazilian	"""Batuque"" fromMalazarte"	nationalism	https://en.wikipedia.org/wiki/Oscar_Lorenzo_Fern%C3%A1ndez	2981.0
Meliton Balanchivadze	1862	1937.0	Georgian			https://en.wikipedia.org/wiki/Meliton_Balanchivadze	2977.0
Bertold Hummel	1925	2002.0	German			https://en.wikipedia.org/wiki/Bertold_Hummel	2974.0
Juan Carlos Paz	1901	1972.0	Argentine		twelve-tone technique and serialism	https://en.wikipedia.org/wiki/Juan_Carlos_Paz	2973.0
Dorothy Rudd Moore	1940	2022.0	American			https://en.wikipedia.org/wiki/Dorothy_Rudd_Moore	2973.0
Clara Edwards	1880	1974.0	American			https://en.wikipedia.org/wiki/Clara_Edwards_(composer)	2971.0
Mykola Kolessa	1903	2006.0	Ukrainian			https://en.wikipedia.org/wiki/Mykola_Kolessa	2967.0
Alemdar Karamanov	1934	2007.0	Ukrainian			https://en.wikipedia.org/wiki/Alemdar_Karamanov	2966.0
Diego Masson	1935		French			https://en.wikipedia.org/wiki/Diego_Masson	2960.0
Anatoly Bogatyrev	1913	2003.0	Belarusian	In the Forests of Polesie,Nadezhda Durova	Nationalism	https://en.wikipedia.org/wiki/Anatoly_Bogatyrev	2952.0
Sheila Nelson	1936	2020.0	English			https://en.wikipedia.org/wiki/Sheila_Nelson	2952.0
Jacob Avshalomov	1919	2013.0	American			https://en.wikipedia.org/wiki/Jacob_Avshalomov	2951.0
Joanna Bruzdowicz	1943	2021.0	Polish			https://en.wikipedia.org/wiki/Joanna_Bruzdowicz	2951.0
Franco Evangelisti	1926	1980.0	Italian	Incontri di fasce sonore	electronic music	https://en.wikipedia.org/wiki/Franco_Evangelisti_(composer)	2947.0
Rosalind Ellicott	1857	1924.0	English			https://en.wikipedia.org/wiki/Rosalind_Ellicott	2945.0
Paul Gilson	1865	1942.0	Belgian		impressionism	https://en.wikipedia.org/wiki/Paul_Gilson	2941.0
Fini Henriques	1867	1940.0	Danish			https://en.wikipedia.org/wiki/Fini_Henriques	2938.0
Marcel Mihalovici	1898	1985.0	French (Romanian-born)	Krapp, ou, La dernière bande	neoclassicism, serialism, etc.; folk-influenced	https://en.wikipedia.org/wiki/Marcel_Mihalovici	2926.0
Fred Raymond	1900	1954.0	Austrian		operettas; also composed film music	https://en.wikipedia.org/wiki/Fred_Raymond	2925.0
Trude Rittmann	1908	2005.0	German			https://en.wikipedia.org/wiki/Trude_Rittmann	2922.0
Winfried Zillig	1905	1963.0	German			https://en.wikipedia.org/wiki/Winfried_Zillig	2917.0
Alfred Hollins	1865	1942.0	English			https://en.wikipedia.org/wiki/Alfred_Hollins	2915.0
Oskar Lindberg	1887	1955.0	Swedish			https://en.wikipedia.org/wiki/Oskar_Lindberg_(composer)	2915.0
Edward Joseph Collins	1886	1951.0	American			https://en.wikipedia.org/wiki/Edward_Joseph_Collins	2912.0
Pierre de Bréville	1861	1949.0	French			https://en.wikipedia.org/wiki/Pierre_de_Br%C3%A9ville	2900.0
Paul Dresher	1951		American			https://en.wikipedia.org/wiki/Paul_Dresher	2898.0
Nico Dostal	1895	1981.0	Austrian			https://en.wikipedia.org/wiki/Nico_Dostal	2896.0
Gustavo Becerra-Schmidt	1925	2010.0	Chilean			https://en.wikipedia.org/wiki/Gustavo_Becerra-Schmidt	2895.0
Clytus Gottwald	1925	2023.0	German			https://en.wikipedia.org/wiki/Clytus_Gottwald	2891.0
Robert Kurka	1921	1957.0	American			https://en.wikipedia.org/wiki/Robert_Kurka	2889.0
Adam Carse	1878	1958.0	English	Two symphonies		https://en.wikipedia.org/wiki/Adam_Carse	2887.0
Tomás Marco	1942		Spanish	Concierto del agua, for guitar and orchestra; 5 symphonies; String Quartet No. 3Anatomía fractal de los ángeles;Ojos verdes de luna	avant-garde,neoclassical, folk-influenced,eclectic	https://en.wikipedia.org/wiki/Tom%C3%A1s_Marco	2885.0
Gustav Jenner	1865	1920.0	German			https://en.wikipedia.org/wiki/Gustav_Jenner	2882.0
Arlene Sierra	1970		American			https://en.wikipedia.org/wiki/Arlene_Sierra	2879.0
Bo Holten	1948		Danish			https://en.wikipedia.org/wiki/Bo_Holten	2877.0
Derek Bermel	1967		American			https://en.wikipedia.org/wiki/Derek_Bermel	2865.0
Barney Childs	1926	2000.0	American		extended technique, improvisation, indeterminacy	https://en.wikipedia.org/wiki/Barney_Childs	2864.0
Bülent Arel	1919	1990.0	Turkish		electronic music	https://en.wikipedia.org/wiki/B%C3%BClent_Arel	2863.0
Benet Casablancas	1956		Spanish	Seven Scenes from Hamlet,New Epigrams,Alter Klang,Seven Haikus for sextet,L'enigma di Lea(opera)	Expressionism,Avant-garde,neo-impressionism	https://en.wikipedia.org/wiki/Benet_Casablancas	2862.0
Erkki Salmenhaara	1941	2002.0	Finnish		minimalism	https://en.wikipedia.org/wiki/Erkki_Salmenhaara	2860.0
Kim Jin-hi	1957		South Korean			https://en.wikipedia.org/wiki/Kim_Jin-hi	2860.0
Giulio Castagnoli	1958		Italian	Concerto for Cello and Double Orchestra; Concerto for Piano and Orchestra;Missa Sancti Evasii		https://en.wikipedia.org/wiki/Giulio_Castagnoli	2859.0
Younghi Pagh-Paan	1945		South Korean			https://en.wikipedia.org/wiki/Younghi_Pagh-Paan	2858.0
Gilbert Biberian	1944		Armenian-British			https://en.wikipedia.org/wiki/Gilbert_Biberian	2856.0
Hans-Jürgen von Bose	1953		German	Piano music		https://en.wikipedia.org/wiki/Hans-J%C3%BCrgen_von_Bose	2855.0
Theo Loevendie	1930		Dutch			https://en.wikipedia.org/wiki/Theo_Loevendie	2854.0
Wayne Peterson	1927	2021.0	American	The Face of the Night, the Heart of the Dark	electro-acoustic, and electronic music	https://en.wikipedia.org/wiki/Wayne_Peterson	2853.0
Ivan Karabyts	1945	2002.0	Ukrainian			https://en.wikipedia.org/wiki/Ivan_Karabyts	2850.0
Stephen Hartke	1952		American			https://en.wikipedia.org/wiki/Stephen_Hartke	2848.0
Yvonne Desportes	1907	1993.0	French			https://en.wikipedia.org/wiki/Yvonne_Desportes	2844.0
Dai-Keong Lee	1915	2005.0	Chinese-American			https://en.wikipedia.org/wiki/Dai-Keong_Lee	2842.0
Virko Baley	1938		Ukrainian-American			https://en.wikipedia.org/wiki/Virko_Baley	2837.0
Beth Anderson	1950		American			https://en.wikipedia.org/wiki/Beth_Anderson_(composer)	2833.0
Robert Carl	1954		American			https://en.wikipedia.org/wiki/Robert_Carl	2827.0
Mana-Zucca	1885	1981.0	American			https://en.wikipedia.org/wiki/Mana-Zucca	2825.0
Bernhard Sekles	1872	1934.0	German			https://en.wikipedia.org/wiki/Bernhard_Sekles	2825.0
Ezra Laderman	1924	2015.0	American			https://en.wikipedia.org/wiki/Ezra_Laderman	2824.0
Henri Crolla	1920	1960.0	Italian			https://en.wikipedia.org/wiki/Henri_Crolla	2823.0
Carlton Gamer	1929		American			https://en.wikipedia.org/wiki/Carlton_Gamer	2822.0
Vytautas Bacevičius	1905	1970.0	Lithuanian		atonality	https://en.wikipedia.org/wiki/Vytautas_Bacevi%C4%8Dius	2816.0
Alan Bullard	1947		English			https://en.wikipedia.org/wiki/Alan_Bullard	2816.0
Vytautas Barkauskas	1931	2020.0	Lithuanian			https://en.wikipedia.org/wiki/Vytautas_Barkauskas	2813.0
Matthijs Vermeulen	1888	1967.0	Dutch	Seven symphonies		https://en.wikipedia.org/wiki/Matthijs_Vermeulen	2812.0
Klaus Lang	1971		Austrian			https://en.wikipedia.org/wiki/Klaus_Lang	2811.0
Teng Yu-hsien	1906	1944.0	Taiwanese			https://en.wikipedia.org/wiki/Teng_Yu-hsien	2810.0
Peter Nardone	1965		Scottish			https://en.wikipedia.org/wiki/Peter_Nardone	2808.0
Cecil Coles	1888	1918.0	Scottish			https://en.wikipedia.org/wiki/Cecil_Coles	2808.0
Tôn-Thất Tiết	1933		Vietnamese-French			https://en.wikipedia.org/wiki/T%C3%B4n-Th%E1%BA%A5t_Ti%E1%BA%BFt	2807.0
Raoul Gunsbourg	1860	1955.0	Romanian			https://en.wikipedia.org/wiki/Raoul_Gunsbourg	2805.0
Maurice Abrahams	1883	1931.0	American			https://en.wikipedia.org/wiki/Maurice_Abrahams	2803.0
Blagoje Bersa	1873	1934.0	Croatian			https://en.wikipedia.org/wiki/Blagoje_Bersa	2803.0
Ilmari Hannikainen	1892	1955.0	Finnish		Romanticism	https://en.wikipedia.org/wiki/Ilmari_Hannikainen	2803.0
François-Auguste Gevaert	1828	1908.0	Belgian		Romanticism	https://en.wikipedia.org/wiki/Fran%C3%A7ois-Auguste_Gevaert	2802.0
Ludmila Ulehla	1923	2009.0	American			https://en.wikipedia.org/wiki/Ludmila_Ulehla	2795.0
Ernest Walker	1870	1949.0	Indian-born English			https://en.wikipedia.org/wiki/Ernest_Walker_(composer)	2793.0
Christian Lauba	1952		Tunisian born French	The Lose Forest for ensemble of 12 saxophones, Neuf études pour saxophone		https://en.wikipedia.org/wiki/Christian_Lauba	2790.0
Jo Kondo	1947		Japanese			https://en.wikipedia.org/wiki/Jo_Kondo	2787.0
Noël Gallon	1891	1966.0	French			https://en.wikipedia.org/wiki/No%C3%ABl_Gallon	2782.0
Miriam Gideon	1906	1996.0	American		modernism	https://en.wikipedia.org/wiki/Miriam_Gideon	2782.0
August de Boeck	1865	1937.0	Belgian		impressionism	https://en.wikipedia.org/wiki/August_de_Boeck	2781.0
Mary Grant Carmichael	1851	1935.0	English			https://en.wikipedia.org/wiki/Mary_Grant_Carmichael	2781.0
Yuri Khanon	1965		Russian	The Shagreen Bone,The Symphony of Dogs,The Middle Symphony,Agonia Dei,What Zarathustra Said Indeed	polystylism,neoclassicism	https://en.wikipedia.org/wiki/Yuri_Khanon	2780.0
Barbara Benary	1946	2019.0	German			https://en.wikipedia.org/wiki/Barbara_Benary	2777.0
Sergei Protopopov	1893	1954.0	Russian	3 piano sonatas	Avant-garde	https://en.wikipedia.org/wiki/Sergei_Protopopov	2775.0
Paul Patterson	1947		English			https://en.wikipedia.org/wiki/Paul_Patterson_(composer)	2773.0
Bo Linde	1933	1970.0	Swedish		Neoromanticism	https://en.wikipedia.org/wiki/Bo_Linde	2773.0
Donald Sur	1935	1999.0	American			https://en.wikipedia.org/wiki/Donald_Sur	2773.0
Wladimir Vogel	1896	1984.0	Swiss			https://en.wikipedia.org/wiki/Wladimir_Vogel	2771.0
Samuel Jones	1935		American			https://en.wikipedia.org/wiki/Samuel_Jones_(composer)	2770.0
Knudåge Riisager	1897	1974.0	Denmark			https://en.wikipedia.org/wiki/Knud%C3%A5ge_Riisager	2766.0
Brian Elias	1948		British			https://en.wikipedia.org/wiki/Brian_Elias	2763.0
Marcel Poot	1901	1988.0	Belgian			https://en.wikipedia.org/wiki/Marcel_Poot	2762.0
Joël-François Durand	1954		French	Piano Concerto		https://en.wikipedia.org/wiki/Jo%C3%ABl-Fran%C3%A7ois_Durand	2762.0
Jean-Jacques Grunenwald	1911	1982.0	French			https://en.wikipedia.org/wiki/Jean-Jacques_Grunenwald	2761.0
Margaret Ruthven Lang	1867	1972.0	American			https://en.wikipedia.org/wiki/Margaret_Ruthven_Lang	2758.0
Maki Ishii	1936	2003.0	Japanese			https://en.wikipedia.org/wiki/Maki_Ishii	2757.0
André Hajdu	1932	2016.0	Israeli			https://en.wikipedia.org/wiki/Andre_Hajdu	2755.0
Jaroslav Kvapil	1892	1958.0	Czech			https://en.wikipedia.org/wiki/Jaroslav_Kvapil	2751.0
Ivo Malec	1925	2019.0	French	Cantate pour elle;Dodecameron;Lumina		https://en.wikipedia.org/wiki/Ivo_Malec	2751.0
Vladimir Vlasov	1903	1986.0	Russian			https://en.wikipedia.org/wiki/Vladimir_Vlasov	2747.0
Jan Bach	1937	2020.0	American			https://en.wikipedia.org/wiki/Jan_Bach	2746.0
Juan Orrego-Salas	1919	2019.0	Chilean			https://en.wikipedia.org/wiki/Juan_Orrego-Salas	2746.0
Rafig Babayev	1937	1994.0	Azerbaijani			https://en.wikipedia.org/wiki/Rafig_Babayev	2745.0
Hans von Koessler	1853	1926.0	German		Romanticism	https://en.wikipedia.org/wiki/Hans_von_Koessler	2745.0
Ladislav Kupkovič	1936	2016.0	Slovak	Vier Präparierter Texte	Wandelkonzerte,historicism	https://en.wikipedia.org/wiki/Ladislav_Kupkovi%C4%8D	2745.0
Richard Hol	1825	1904.0	Dutch	Organ music	Romanticism	https://en.wikipedia.org/wiki/Richard_Hol	2735.0
Nicolae Bretan	1887	1968.0	Romanian			https://en.wikipedia.org/wiki/Nicolae_Bretan	2734.0
Șerban Nichifor	1954		Romanian			https://en.wikipedia.org/wiki/%C8%98erban_Nichifor	2731.0
Betty Roe	1930		English			https://en.wikipedia.org/wiki/Betty_Roe	2727.0
Chaya Arbel	1921	2007.0	Israeli			https://en.wikipedia.org/wiki/Chaya_Arbel	2725.0
Yrjö Kilpinen	1892	1959.0	Finnish		neoclassical	https://en.wikipedia.org/wiki/Yrj%C3%B6_Kilpinen	2723.0
August Enna	1859	1939.0	Danish			https://en.wikipedia.org/wiki/August_Enna	2718.0
Rolf Riehm	1937		German	Les Chants de la Revolution sont des Chants de l’Amour		https://en.wikipedia.org/wiki/Rolf_Riehm	2717.0
Louise Héritte-Viardot	1841	1918.0	French			https://en.wikipedia.org/wiki/Louise_H%C3%A9ritte-Viardot	2716.0
Felix Werder	1922	2012.0	German-born Australian		electronic music	https://en.wikipedia.org/wiki/Felix_Werder	2714.0
Tokichi Setoguchi	1868	1941.0	Japanese			https://en.wikipedia.org/wiki/Tokichi_Setoguchi	2714.0
Margaret Brouwer	1940		American			https://en.wikipedia.org/wiki/Margaret_Brouwer	2713.0
Gentil Montaña	1942	2011.0	Colombian			https://en.wikipedia.org/wiki/Gentil_Monta%C3%B1a	2708.0
John Musto	1954		American			https://en.wikipedia.org/wiki/John_Musto	2706.0
Eric Gross	1926	2011.0	Austrian-Australian			https://en.wikipedia.org/wiki/Eric_Gross	2701.0
Sven-Erik Bäck	1919	1994.0	Swedish			https://en.wikipedia.org/wiki/Sven-Erik_B%C3%A4ck	2700.0
Aivars Kalējs	1951		Latvian		Neoromanticism	https://en.wikipedia.org/wiki/Aivars_Kal%C4%93js	2698.0
Roy Agnew	1891	1944.0	Australian			https://en.wikipedia.org/wiki/Roy_Agnew	2695.0
Ján Levoslav Bella	1843	1936.0	Slovak			https://en.wikipedia.org/wiki/J%C3%A1n_Levoslav_Bella	2691.0
Rudolf Karel	1880	1945.0	Czech			https://en.wikipedia.org/wiki/Rudolf_Karel	2689.0
Bertram Turetzky	1933		American			https://en.wikipedia.org/wiki/Bertram_Turetzky	2689.0
Karl Michael Ziehrer	1843	1922.0	Austrian			https://en.wikipedia.org/wiki/Karl_Michael_Ziehrer	2687.0
Akira Nishimura	1953		Japanese			https://en.wikipedia.org/wiki/Akira_Nishimura	2687.0
Peter Lange-Müller	1850	1926.0	Danish			https://en.wikipedia.org/wiki/Peter_Lange-M%C3%BCller	2682.0
Edward Salim Michael	1921	2006.0	French			https://en.wikipedia.org/wiki/Edward_Salim_Michael	2682.0
Edmund Eysler	1874	1949.0	Austrian			https://en.wikipedia.org/wiki/Edmund_Eysler	2675.0
He Luting	1903	1999.0	Chinese			https://en.wikipedia.org/wiki/He_Luting	2669.0
Iván Erőd	1936	2019.0	Hungarian-Austrian	operaSeidenraupen, song cycleMilchzahnlieder, piano trios		https://en.wikipedia.org/wiki/Iv%C3%A1n_Er%C5%91d	2665.0
Barbara Heller	1936		German			https://en.wikipedia.org/wiki/Barbara_Heller	2663.0
Jórunn Viðar	1918	2017.0	Icelandic			https://en.wikipedia.org/wiki/J%C3%B3runn_Vi%C3%B0ar	2662.0
Zdeněk Lukáš	1928	2007.0	Czech			https://en.wikipedia.org/wiki/Zden%C4%9Bk_Luk%C3%A1%C5%A1	2652.0
Modest Altschuler	1873	1963.0	Russian			https://en.wikipedia.org/wiki/Modest_Altschuler	2650.0
Lam Manyee	1950		Chinese			https://en.wikipedia.org/wiki/Lam_Manyee	2649.0
Eyvind Alnæs	1872	1932.0	Norwegian	two symphonies, Piano Concerto		https://en.wikipedia.org/wiki/Eyvind_Aln%C3%A6s	2646.0
Liana Alexandra	1947	2011.0	Romanian			https://en.wikipedia.org/wiki/Liana_Alexandra	2646.0
Mildred Couper	1887	1974.0	American		quarter tone	https://en.wikipedia.org/wiki/Mildred_Couper	2644.0
Noam Sheriff	1935	2018.0	Israeli			https://en.wikipedia.org/wiki/Noam_Sheriff	2642.0
Elinor Remick Warren	1900	1991.0	American			https://en.wikipedia.org/wiki/Elinor_Remick_Warren	2640.0
Adolf Mišek	1875	1955.0	Czech			https://en.wikipedia.org/wiki/Adolf_Mi%C5%A1ek	2637.0
Dan Locklair	1949		American			https://en.wikipedia.org/wiki/Dan_Locklair	2637.0
Daniel Asia	1953		American			https://en.wikipedia.org/wiki/Daniel_Asia	2635.0
