Name	Year of birth	Year of death	Nationality	Notable 20th-century works	Remarks	URL	Pageviews
Harry Partch	1901	1974.0	American	Daphne of the Dunes,Revelation in the Courthouse Park	microtonal,just intonation, self-built instruments	https://en.wikipedia.org/wiki/Harry_Partch	59209.0
Elliot Goldenthal	1954		American			https://en.wikipedia.org/wiki/Elliot_Goldenthal	59065.0
Max Reger	1873	1916.0	German	organ music,Variations and Fugue on a Theme by Mozart,Hebbel Requiem	historicism,modernism	https://en.wikipedia.org/wiki/Max_Reger	58683.0
Ferruccio Busoni	1866	1924.0	Italian	Fantasia contrappuntistica;Turandot Suite;Piano Concerto		https://en.wikipedia.org/wiki/Ferruccio_Busoni	58047.0
Henryk Górecki	1933	2010.0	Polish	Symphony of Sorrowful Songs	holy minimalism	https://en.wikipedia.org/wiki/Henryk_G%C3%B3recki	57241.0
Harold Budd	1936	2020.0	American		avant-garde,ambient music	https://en.wikipedia.org/wiki/Harold_Budd	56975.0
Henry Cowell	1897	1965.0	American	The Tides of Manaunaun,Dynamic Motion	eclectic,experimental	https://en.wikipedia.org/wiki/Henry_Cowell	56261.0
Alexander Glazunov	1865	1936.0	Russian	Symphony No. 4andNo. 5;The Seasons(ballet);Violin Concerto;Saxophone Concerto	Romanticism	https://en.wikipedia.org/wiki/Alexander_Glazunov	55914.0
Francisco Santiago	1889	1947.0	Filipino			https://en.wikipedia.org/wiki/Francisco_Santiago	55839.0
Leroy Anderson	1908	1975.0	American	Sleigh Ride;Blue Tango;Jazz Pizzicato;Irish Suite;Suites of Carols		https://en.wikipedia.org/wiki/Leroy_Anderson	55710.0
Mily Balakirev	1837	1910.0	Russian	Islamey		https://en.wikipedia.org/wiki/Mily_Balakirev	54796.0
Karol Szymanowski	1882	1937.0	Polish	Symphony No. 3 and No. 4; Violin Concerto No. 1 and No. 2	impressionism, later folk-influenced	https://en.wikipedia.org/wiki/Karol_Szymanowski	54576.0
Don Davis	1957		American	Río de Sangre	also composer of film music:The Matrix	https://en.wikipedia.org/wiki/Don_Davis_(composer)	53828.0
Peter Maxwell Davies	1934	2016.0	English	Taverner,Eight Songs for a Mad King,Symphony No. 1,Symphony No. 3,Symphony No. 6,Strathclyde Concertos,Naxos Quartets		https://en.wikipedia.org/wiki/Peter_Maxwell_Davies	53485.0
Eugène Ysaÿe	1858	1931.0	Belgian			https://en.wikipedia.org/wiki/Eug%C3%A8ne_Ysa%C3%BFe	52548.0
Meredith Monk	1942		American			https://en.wikipedia.org/wiki/Meredith_Monk	52327.0
Luciano Berio	1925	2003.0	Italian	Sequenza;Sinfonia	avant-garde,polystylism	https://en.wikipedia.org/wiki/Luciano_Berio	52016.0
Peter Warlock	1894	1930.0	Anglo-Welsh	Capriol Suite,The Curlew		https://en.wikipedia.org/wiki/Peter_Warlock	51656.0
