Name	Year of birth	Year of death	Nationality	Notable 20th-century works	Remarks	URL	Pageviews	IMSLP_URL	IMSLP_Exists
Egil Hovland	1924	2013.0	Norwegian		church music	https://en.wikipedia.org/wiki/Egil_Hovland	5006.0	https://imslp.org/wiki/Category:Hovland,_Egil	False
Lepo Sumera	1950	2000.0	Estonian		electro-acoustic music	https://en.wikipedia.org/wiki/Lepo_Sumera	5004.0	https://imslp.org/wiki/Category:Sumera,_Lepo	False
Georges Boulanger	1893	1958.0	Romanian			https://en.wikipedia.org/wiki/Georges_Boulanger_(violinist)	5001.0	https://imslp.org/wiki/Category:Boulanger,_Georges	True
Pedro Iturralde	1929	2020.0	Spanish			https://en.wikipedia.org/wiki/Pedro_Iturralde	5000.0	https://imslp.org/wiki/Category:Iturralde,_Pedro	False
Wilhelm Grosz	1894	1939.0	Austrian			https://en.wikipedia.org/wiki/Wilhelm_Grosz	4987.0	https://imslp.org/wiki/Category:Grosz,_Wilhelm	True
Hendrik Andriessen	1892	1981.0	Dutch		father ofLouis Andriessen	https://en.wikipedia.org/wiki/Hendrik_Andriessen	4984.0	https://imslp.org/wiki/Category:Andriessen,_Hendrik	True
Roy Douglas	1907	2015.0	British			https://en.wikipedia.org/wiki/Roy_Douglas	4983.0	https://imslp.org/wiki/Category:Douglas,_Roy	False
Karl Klindworth	1830	1916.0	German			https://en.wikipedia.org/wiki/Karl_Klindworth	4983.0	https://imslp.org/wiki/Category:Klindworth,_Karl	True
Kenneth Fuchs	1956		American	Falling Man(for baritone voice and orchestra, text by Don DeLillo, adapted by J. D. McClatchy)	American Symphonic School	https://en.wikipedia.org/wiki/Kenneth_Fuchs	4980.0	https://imslp.org/wiki/Category:Fuchs,_Kenneth	False
Jonathan Kramer	1942	2004.0	American		postmodernism	https://en.wikipedia.org/wiki/Jonathan_Kramer	4969.0	https://imslp.org/wiki/Category:Kramer,_Jonathan	False
Franz Reizenstein	1911	1968.0	German-born British			https://en.wikipedia.org/wiki/Franz_Reizenstein	4950.0	https://imslp.org/wiki/Category:Reizenstein,_Franz	True
Ignaz Brüll	1846	1907.0	Austrian			https://en.wikipedia.org/wiki/Ignaz_Br%C3%BCll	4950.0	https://imslp.org/wiki/Category:Brüll,_Ignaz	True
Hans Otte	1926	2007.0	German			https://en.wikipedia.org/wiki/Hans_Otte	4950.0	https://imslp.org/wiki/Category:Otte,_Hans	False
Raoul Pugno	1852	1914.0	French			https://en.wikipedia.org/wiki/Raoul_Pugno	4932.0	https://imslp.org/wiki/Category:Pugno,_Raoul	True
Berthold Goldschmidt	1903	1996.0	German			https://en.wikipedia.org/wiki/Berthold_Goldschmidt	4904.0	https://imslp.org/wiki/Category:Goldschmidt,_Berthold	False
Frederic Hymen Cowen	1852	1935.0	British	Miniature Variationsfor orchestra	Romanticism	https://en.wikipedia.org/wiki/Frederic_Hymen_Cowen	4904.0	https://imslp.org/wiki/Category:Cowen,_Frederic_Hymen	True
Dolores Claman	1927	2021.0	Canadian			https://en.wikipedia.org/wiki/Dolores_Claman	4894.0	https://imslp.org/wiki/Category:Claman,_Dolores	False
James Di Pasquale	1941		American			https://en.wikipedia.org/wiki/James_Di_Pasquale	4891.0	https://imslp.org/wiki/Category:Pasquale,_James_Di	False
Javier Álvarez	1956	2023.0	Mexican	Metro Chabacano,Temazcal		https://en.wikipedia.org/wiki/Javier_%C3%81lvarez_(composer)	4888.0	https://imslp.org/wiki/Category:Álvarez,_Javier	False
